"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently Using","Employment","Employed"
"248","Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","HTML/CSS;Java;JavaScript;Kotlin;SQL","PostgreSQL;Supabase","Digital Ocean","Spring Boot;Vue.js","Financial Services","ChatGPT","Writing code;Documenting code","Employed, full-time","Employed"
"249","Durban Campus","Computer Science","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;JavaScript;Python;R;SQL;TypeScript","Dynamodb;InfluxDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;Netlify","React;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Documenting code;Debugging and getting help","Employed, full-time;Student, part-time","Employed"
"250","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Swift;TypeScript","PostgreSQL","Amazon Web Services (AWS);Google Cloud;Netlify","Express;Lit;Node.js;React","Retail and Consumer Services","Bing AI;ChatGPT;Phind","Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"251","East London Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript","Dynamodb;PostgreSQL","Amazon Web Services (AWS);Digital Ocean","Angular","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"252","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","MySQL;Redis","Cloudflare;Google Cloud;Hetzner","Express;Next.js;Node.js;React","Retail and Consumer Services","Bing AI;ChatGPT;WolframAlpha","Writing code;Documenting code;Testing code","Employed, full-time","Employed"
"253","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Microsoft SQL Server;MySQL;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","AngularJS;ASP.NET;ASP.NET CORE;Blazor;FastAPI;jQuery;React;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Writing code","Independent contractor, freelancer, or self-employed","Unemployed"
"254","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Python;SQL","Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS)","Django;FastAPI;Flask","Other","Google Bard AI;Quora Poe","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"255","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Python;Ruby;SQL;TypeScript","Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;Solr;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku","Angular;AngularJS;React;Spring Boot;Svelte","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Project planning;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"256","Mbombela Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Julia;Python;R;SQL;VBA","Cassandra;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;Snowflake;SQLite","Heroku;Microsoft Azure","Django;FastAPI;Flask","Financial Services","Bing AI;ChatGPT;Phind","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"257","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript","Elasticsearch;MongoDB;PostgreSQL","Cloudflare;Google Cloud","Drupal;Express;Next.js;Node.js","Financial Services","ChatGPT","Writing code","Employed, full-time","Employed"
"258","Mbombela Campus","Data Science","I am a developer by profession","Developer, front-end","Associate degree (A.A., A.S., etc.)","HTML/CSS;JavaScript;PHP;SQL;TypeScript","MySQL","Google Cloud;Heroku;Microsoft Azure","Express;Next.js;Node.js;React;Remix","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Testing code","Employed, full-time","Employed"
"259","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Perl;PowerShell;Python;Ruby;SQL;TypeScript","Cosmos DB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL","Microsoft Azure","AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;jQuery;Node.js;React;Ruby on Rails","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Testing code","Employed, full-time","Employed"
"260","Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Java;Python","MySQL;PostgreSQL","Google Cloud","ASP.NET;Flask","Financial Services","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"261","East London Campus","Computer Science","I am a developer by profession","Developer, front-end","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;TypeScript","Elasticsearch","Amazon Web Services (AWS);Cloudflare","Node.js;React;Remix","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Collaborating with teammates","Employed, full-time","Employed"
"262","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;Node.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"263","East London Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL","Firebase;Google Cloud;Heroku;Netlify;Vercel","Deno;Express;NestJS;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;You.com","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time;Not employed, but looking for work","Employed"
"264","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Ruby","PostgreSQL;Redis","Amazon Web Services (AWS);Heroku","Ruby on Rails;Vue.js","Other","Bing AI;ChatGPT;Google Bard AI","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"265","Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)","Oracle;PostgreSQL","Amazon Web Services (AWS);Digital Ocean","Blazor;Next.js;React;Svelte;Vue.js","Financial Services","Bing AI","Learning about a codebase;Writing code;Documenting code;Testing code","Employed, full-time","Employed"
"266","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Academic researcher","Primary/elementary school","Ada;Apex;APL;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Flow;Fortran;GDScript;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;Nim;Objective-C;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Raku;Ruby;Rust;SAS;Scala;Solidity;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig","BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB","Amazon Web Services (AWS);Cloudflare;Colocation;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;Render;Scaleway;Vercel;VMware;Vultr","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;CodeIgniter;Deno;Django;Drupal;Elm;Express;FastAPI;Fastify;Flask;Gatsby;jQuery;Laravel;Lit;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;Play Framework;Qwik;React;Remix;Ruby on Rails;Solid.js;Spring Boot;Svelte;Symfony;Vue.js;WordPress","Advertising Services","Andi;Bing AI;ChatGPT;Google Bard AI;Metaphor;Neeva AI;Perplexity AI;Phind;Quora Poe;WolframAlpha;You.com","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ;Other (please describe)","Employed, full-time","Employed"
"267","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;TypeScript","Microsoft SQL Server","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Microsoft Azure","Express;Node.js;React","Healthcare","ChatGPT","Learning about a codebase;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"268","Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Elasticsearch;Microsoft SQL Server;Redis","Firebase;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Express;jQuery","Information Services, IT, Software Development, or other Technology","ChatGPT","Documenting code","Employed, full-time","Employed"
"269","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;SQL","Microsoft SQL Server;Redis","Amazon Web Services (AWS)","ASP.NET CORE","Information Services, IT, Software Development, or other Technology","Phind","Learning about a codebase;Debugging and getting help","Independent contractor, freelancer, or self-employed","Unemployed"
"270","Durban Campus","Computer Science","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Python;SQL","Microsoft SQL Server;MySQL;SQLite","Microsoft Azure","Flask","Financial Services","Bing AI;ChatGPT","Learning about a codebase;Writing code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring","Employed, full-time","Employed"
"271","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;Python;TypeScript","MongoDB;PostgreSQL","Google Cloud;Hetzner","Angular;NestJS;Node.js;React","Healthcare","ChatGPT","Writing code","Employed, full-time","Employed"
"272","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net)","InfluxDB;Microsoft SQL Server;MySQL;PostgreSQL","Digital Ocean","Express;Node.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"273","East London Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;TypeScript","Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL","Firebase;Heroku;Managed Hosting;Netlify;Vercel","Express;Node.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time","Employed"
"274","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python","PostgreSQL","Amazon Web Services (AWS)","Django","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"275","Mbombela Campus","Computer Science","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","PostgreSQL","Amazon Web Services (AWS);Firebase;Heroku","jQuery;NestJS;Node.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"276","East London Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;SQL","Microsoft SQL Server","Hetzner;Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"277","East London Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Delphi;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript","Microsoft Access;Microsoft SQL Server;PostgreSQL;SQLite","Managed Hosting","Angular;FastAPI;Flask;Node.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help","Independent contractor, freelancer, or self-employed;Employed, part-time","Employed"
"278","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;TypeScript","Cosmos DB;Dynamodb","Amazon Web Services (AWS);Microsoft Azure","React","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring","Employed, full-time","Employed"
"279","East London Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Python","Dynamodb;Elasticsearch;MySQL;Redis","Amazon Web Services (AWS)","ASP.NET CORE","Manufacturing, Transportation, or Supply Chain","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Committing and reviewing code","Employed, full-time","Employed"
"280","Durban Campus","Computer Science","I code primarily as a hobby","DevOps specialist","Some college/university study without earning a degree","C#;Dart;JavaScript;SQL","Microsoft SQL Server;MySQL;PostgreSQL","Microsoft Azure;Netlify;Render","ASP.NET;ASP.NET CORE;React;Vue.js","Legal Services","ChatGPT","Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Collaborating with teammates","Employed, full-time","Employed"
"281","East London Campus","Computer Science","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C;HTML/CSS;JavaScript;Python","InfluxDB;MongoDB;PostgreSQL","Amazon Web Services (AWS);Google Cloud","FastAPI;Flask;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;Google Bard AI;WolframAlpha","Writing code;Debugging and getting help","Employed, full-time","Employed"
"282","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;TypeScript","Cosmos DB;Elasticsearch","Microsoft Azure","AngularJS;ASP.NET CORE;Node.js;React","Healthcare","Bing AI;ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"283","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Project manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;F#;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Solidity;SQL;Swift;TypeScript","BigQuery;Cloud Firestore;Couch DB;Elasticsearch;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Deno;Django;Drupal;Express;jQuery;Laravel;Next.js;Node.js;React;Ruby on Rails;Symfony;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;WolframAlpha;You.com","Learning about a codebase;Writing code;Documenting code","Employed, full-time;Student, full-time","Employed"
"284","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Cassandra;Cloud Firestore;Cosmos DB;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Linode, now Akamai;Microsoft Azure;Netlify;Vercel;Vultr","Angular;AngularJS;CodeIgniter;Deno;Express;Fastify;jQuery;Laravel;NestJS;Next.js;Node.js;React;Remix;Svelte","Financial Services","ChatGPT;Google Bard AI","Writing code;Documenting code;Deployment and monitoring","Employed, full-time","Employed"
"285","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript","Cloud Firestore;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel","Angular;Express;Node.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"286","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Elasticsearch;Microsoft SQL Server;MongoDB;Oracle;SQLite","VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"287","East London Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Data or business analyst","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift;TypeScript;Visual Basic (.Net)","Couchbase;IBM DB2;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite","Microsoft Azure;Netlify","ASP.NET;Express;Gatsby;jQuery;React;Ruby on Rails;Vue.js;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"288","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL;TypeScript","Cloud Firestore;Microsoft SQL Server;MongoDB;PostgreSQL","Amazon Web Services (AWS);Firebase;Heroku;Render;Vercel","Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;You.com","Writing code;Documenting code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"289","East London Campus","Computer Science","I am a developer by profession","Other (please specify):","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"290","Durban Campus","Computer Science","I am learning to code","Marketing or sales professional","Some college/university study without earning a degree","Ada","Cloud Firestore","Cloudflare","FastAPI","Insurance","Bing AI;ChatGPT;Google Bard AI;Metaphor;You.com","Learning about a codebase","Employed, full-time","Employed"
"291","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","C#;Dart;Go;JavaScript;TypeScript","Cloud Firestore;PostgreSQL","Digital Ocean;Firebase","Angular;Node.js;React","Other","Bing AI;ChatGPT","Writing code;Documenting code;Debugging and getting help","Employed, full-time;Student, full-time","Employed"
"292","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, embedded applications or devices","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PHP;Swift;TypeScript","MySQL","Firebase","Angular;ASP.NET CORE;Node.js;React;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code","Employed, full-time","Employed"
"293","Durban Campus","Data Science","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;Objective-C;TypeScript","MySQL;SQLite","Amazon Web Services (AWS);Heroku","Next.js;Node.js;Nuxt.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Documenting code","Employed, full-time","Employed"
"294","Durban Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;Python","PostgreSQL;Redis","Amazon Web Services (AWS)","Spring Boot","Manufacturing, Transportation, or Supply Chain","ChatGPT;Google Bard AI","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"295","Mbombela Campus","Computer Science","I code primarily as a hobby","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Python;SQL","Cosmos DB;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MySQL","Firebase;Microsoft Azure","Angular;ASP.NET CORE;Flask","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"296","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;C++;HTML/CSS;JavaScript;PowerShell;SQL","Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;RavenDB;Redis","Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code;Documenting code","Employed, full-time","Employed"
"297","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript","Cloud Firestore;DuckDB;PostgreSQL","Google Cloud;Netlify;Render;Vercel","Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Google Bard AI","Writing code;Documenting code;Testing code","Employed, full-time","Employed"
"298","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;TypeScript","Dynamodb","Amazon Web Services (AWS);Digital Ocean","Express;Node.js;React;Remix","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"299","East London Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","GDScript;Go;HTML/CSS;Lua;Rust;SQL;TypeScript","MongoDB;PostgreSQL;Redis;Supabase","Amazon Web Services (AWS);Netlify;Vercel","Express;Fastify;Laravel;Next.js;Node.js;React","Other","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code","Independent contractor, freelancer, or self-employed","Unemployed"
"300","Durban Campus","Computer Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","Dynamodb;MySQL","Amazon Web Services (AWS)","Angular;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Debugging and getting help","Employed, full-time","Employed"
"301","Durban Campus","IT","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Ada;Fortran","Couch DB;Microsoft Access","Microsoft Azure","NestJS","Manufacturing, Transportation, or Supply Chain","Andi;Metaphor;WolframAlpha","Learning about a codebase","Employed, full-time","Employed"
"302","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;JavaScript;TypeScript","MongoDB;Redis","Amazon Web Services (AWS);Vercel","Express;Flask;NestJS;Node.js;React","Healthcare","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time;Employed, part-time","Employed"
"303","Pretoria Campus","Computer Science","I am a developer by profession","Research & Development role","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C++;Python;Rust;Swift;TypeScript","MongoDB","Amazon Web Services (AWS)","Next.js;React","Other","ChatGPT","Debugging and getting help","Employed, full-time","Employed"
"304","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Educator","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB","Amazon Web Services (AWS);Heroku;Netlify;Vercel","Express;Fastify;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code","Employed, full-time","Employed"
"305","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;SQL","Elasticsearch;Firebase Realtime Database;MariaDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Netlify","Fastify;Laravel;Node.js;Nuxt.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase","Independent contractor, freelancer, or self-employed","Unemployed"
"306","Pretoria Campus","IT","I am a developer by profession","Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;Python;Rust","Microsoft SQL Server","Microsoft Azure","ASP.NET;Django","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"307","East London Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;Swift","Cosmos DB;Microsoft SQL Server;SQLite","Microsoft Azure;Netlify","ASP.NET;ASP.NET CORE;Node.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Project planning;Writing code;Documenting code;Testing code","Employed, full-time","Employed"
